levels,spacing_pct,total_pnl,max_drawdown_pct,total_fills,sharpe_ratio
4,0.75,69.4,40.97,23,2.6164
5,0.75,63.33,38.77,25,2.5885
3,1.0,67.49,40.29,16,2.563
4,1.0,60.9,37.85,18,2.5443
5,1.0,53.36,34.8,19,2.4953
6,0.75,60.31,37.62,27,2.4756
3,0.75,76.48,43.34,20,2.4738
8,0.5,66.47,39.93,42,2.4207
6,0.5,72.7,42.1,37,2.3989
6,1.0,49.01,32.89,20,2.3623
12,1.0,24.51,19.68,20,2.3623
8,1.0,36.76,26.88,20,2.3623
10,1.0,29.41,22.72,20,2.3623
10,0.5,60.02,37.51,45,2.352
8,0.75,51.67,34.07,29,2.327
10,0.75,41.34,29.25,29,2.327
12,0.75,34.45,25.62,29,2.327
5,0.5,77.61,43.7,34,2.3103
12,0.5,54.39,35.23,47,2.2602
12,0.3,67.47,40.29,67,2.2529
10,0.4,64.3,39.14,51,2.2528
12,0.4,59.15,37.17,54,2.2339
8,0.4,68.28,40.57,46,2.2095
4,0.5,86.57,46.4,31,2.1911
12,0.25,73.06,42.22,76,2.1876
10,0.3,70.2,41.25,61,2.1871
10,0.25,78.36,43.93,70,2.0947
8,0.3,76.2,43.25,55,2.0702
6,0.4,74.99,42.85,40,2.0576
3,0.5,98.38,49.59,27,2.034
12,0.2,78.72,44.05,85,1.984
8,0.25,85.8,46.18,63,1.9719
5,0.4,81.88,45.02,37,1.9629
6,0.3,86.04,46.25,48,1.9131
10,0.2,84.95,45.93,78,1.8862
12,0.15,88.82,47.04,100,1.8509
4,0.4,89.57,47.25,33,1.8401
6,0.25,98.08,49.51,55,1.8328
5,0.3,93.71,48.38,44,1.8259
8,0.2,93.84,48.41,70,1.777
10,0.15,96.08,49.0,91,1.7603
5,0.25,101.49,50.37,48,1.7225
3,0.4,100.66,50.16,28,1.6932
4,0.3,96.88,49.21,37,1.6845
8,0.15,100.44,50.11,77,1.6334
6,0.2,102.76,50.68,58,1.6284
4,0.25,108.58,52.06,41,1.6214
12,0.1,102.91,50.72,118,1.6122
3,0.3,105.32,51.3,30,1.5561
5,0.2,108.99,52.15,51,1.5537
10,0.1,109.49,52.27,104,1.5421
6,0.15,106.53,51.58,62,1.5409
3,0.25,110.38,52.47,32,1.5387
5,0.15,108.01,51.92,53,1.4906
4,0.2,110.44,52.48,42,1.4833
8,0.1,111.57,52.74,86,1.4771
4,0.15,111.75,52.77,44,1.4416
6,0.1,117.75,54.08,68,1.4159
3,0.2,115.57,53.61,33,1.4138
3,0.15,120.01,54.55,35,1.3984
5,0.1,123.91,55.34,59,1.3902
4,0.1,127.15,55.98,48,1.3421
3,0.1,124.43,55.44,36,1.3109
